question,answer
What is the capital of France?,Paris
Who wrote the play "Hamlet"?,William Shakespeare
What is the chemical symbol for water?,H2O
In which year did the Titanic sink?,1912
Which planet is known as the "Red Planet"?,Mars
What is the largest mammal on Earth?,Blue Whale
What is the tallest mountain in the world?,Mount Everest
Who painted the Mona Lisa?,Leonardo da Vinci
What is the currency of Japan?,Japanese Yen
Which country is known as the Land of the Rising Sun?,Japan
What is the largest organ in the human body?,Skin
Who is the author of the Harry Potter book series?,J.K. Rowling
What is the capital of Brazil?,Brasília
What is the national animal of Australia?,Red Kangaroo
Which famous scientist formulated the theory of relativity?,Albert Einstein
In which country did the Olympic Games originate?,Ancient Greece
